Row,Source Name,RA J2000 Degs,Dec J2000 Degs,Alternate Name,Source Type,Today#,Yesterday#,Tenday#,Mean*,Peak*,Days*,Last Day*
524,IGR J15360-5750,234.000,-57.8170,IGR15360-5750,X-ray source,-,-,-,-,-,-,-
525,SWIFT J1539.2-6227,234.800,-62.4670,,LMXB/BHC,-,-,-,-,-,-,-
526,4C 14.60,235.206,14.7961,4C +14.60,BL Lac,-,-,-,-,-,-,-
527,H 1538-522,235.597,-52.3860,QV Nor,HMXB/NS,-,-,32 ( 7.9),20,97,969,54403 ( 5778)
528,QSO B1542+614,235.737,61.4990,0FGL J1543.1+6130,BL Lac,-,-,-,0,0,1,1 (    0)
529,MAXI J1543-564,235.822,-56.4140,NULL,XRB/BHC,-,-,-,-,-,-,-
530,XTE J1543-568,236.023,-56.7740,NULL,HMXB/NS,-,-,-,-,-,-,-
531,4U 1543-47,236.786,-47.6690,IL Lup,LMXB/BH,-,-,-,7,140,27,59382 (  799)
532,4U 1543-62,236.976,-62.5698,,LMXB/NS,-,-,-,4,0,1,1 (    0)
533,IGR J15479-4529,237.060,-45.4790,NY Lup,CV/DQ Her,-,-,11 ( 2.2),-,-,-,-
534,QSO B1546+0246,237.373,2.61699,,Quasar,-,-,-,0,65,1,59948 (  233)
535,4C 05.64,237.647,5.45290,4C +05.64,Quasar,-,-,-,-,-,-,-
536,1E 1547.0-5408,237.726,-54.3070,PSR J1550-5418,Pulsar,-,-,-,-,-,-,-
537,XTE J1550-564,237.757,-56.4580,V381 Nor,LMXB/BH,-,-,-,0,0,1,1 (    0)
538,PKS 1551+130,238.386,12.9480,0FGL J1553.4+1255,Quasar,-,-,-,0,0,1,1 (    0)
539,QSO B1553+113,238.929,11.1901,PG 1553+113,Quasar,-,-,-,0,56,1,59795 (  386)
540,H 1553-542,239.455,-54.4140,2S 1553-542,HMXB/NS,-,-,-,-,-,-,-
541,T CrB,239.876,25.9202,HD 143454,Symb/WD,-,-,-,2,33,5,59922 (  259)
542,0FGL J1604.0-4904,240.961,-49.0680,2FGL J1603.8-4904,Quasar,-,-,-,-,-,-,-
543,4C 10.45,242.193,10.4855,4C +10.45,Quasar,-,-,-,0,0,2,1 (    0)
544,H 1608-522,243.179,-52.4230,QX Nor,LMXB/NS,-,-,-,19,347,1362,54268 ( 5913)
545,QSO B1611+3420,243.421,34.2133,DA 406,Quasar,-,-,-,-,-,-,-
546,TZ CrB,243.670,33.8586,NULL,RS CVn variable,-,-,-,-,-,-,-
547,AT2018cow,244.001,22.2680,NULL,NULL,-,-,-,-,-,-,-
548,IGR J16167-4957,244.155,-49.9800,1RXS J161637.2-495847,CV,-,-,-,-,-,-,-
549,2CG 333+01,244.250,-49.3000,1CG 333+00,Gamma-ray source,-,-,-,-,-,-,-
550,IGR J16185-5928,244.652,-59.4550,WKK 6471,Sy1 NL,-,-,-,-,-,-,-
551,IGR J16195-4945,244.884,-49.7420,AX J1619.4-4945,HMXB/SFXT candidate,-,-,-,1,50,1,59855 (  326)
552,Sco X-1,244.979,-15.6400,V818 Sco,LMXB/NS,2272 (27.7),986 (20.9),1280 (76.1),996,5134,754,60018 (  163)
553,MAXI J1621-501,245.092,50.0199,NULL,NULL,-,-,-,-,-,-,-
554,IGR J16207-5129,245.193,-51.5020,CXOU J162046.2-513006,HMXB/SFXT,-,-,-,2,78,1,59795 (  386)
555,U Sco,245.628,-17.8780,NOVA Sco 1863,Nova,-,-,-,-,-,-,-
556,PKS 1622-253,246.445,-25.4600,0FGL J1625.8-2527,Quasar,-,-,-,0,71,1,59836 (  345)
557,PKS 1622-297,246.525,-29.8570,QSO B1622-297,Quasar,-,-,-,0,0,1,1 (    0)
558,SWIFT J1626.6-5156,246.650,-51.9410,Swift J162636.2-515634,LMXB/NS,-,-,-,-,-,-,-
559,4U 1624-490,247.012,-49.1985,BIG DIPPER,LMXB/NS,-,-,-,-,-,-,-
560,Mrk 1498,247.017,51.7753,SWIFT J1628.1+5145,Sy1.9,-,-,-,1,0,1,1 (    0)
561,IGR J16283-4838,247.045,-48.6490,[KRL2007b] 188,HMXB/NS,-,-,-,-,-,-,-
562,RGB J1629+401,247.255,40.1333,1ES 1627+402,Sy1,-,-,-,-,-,-,-
563,IGR J16293-4603,247.339,-46.0640,NULL,X-ray source,-,-,-,-,-,-,-
564,IGR J16316-4028,247.900,-40.4670,IGR16316-4028,X-ray source,-,-,-,-,-,-,-
565,IGR J16318-4848,247.949,-48.8190,MSX6C G335.6164-00.4479,HMXB/NS,-,-,18 ( 3.7),23,185,61,59763 (  418)
566,AX J1631.9-4752,248.008,-47.8740,HESS J1632-478,HMXB/NS,-,-,20 ( 3.8),18,517,788,58508 ( 1673)
567,4U 1626-67,248.067,-67.4620,KZ Tra,LMXB/NS,-,-,11 ( 3.6),41,140,3344,59855 (  326)
568,IGR J16328-4726,248.158,-47.3950,NULL,HMXB/SFXT,-,-,-,-,-,-,-
569,4U 1630-472,248.504,-47.3930,Nor X-1,LMXB/BHC,185 ( 2.4),111 ( 4.6),91 (15.3),29,830,103,60033 (  148)
570,4C 38.41,248.815,38.1346,4C +38.41,Quasar,-,-,-,0,37,4,59922 (  259)
571,SGR 1627-41,248.968,-47.5870,SGR1627-41,SGR,-,-,-,-,-,-,-
572,IGR J16358-4726,248.974,-47.4280,IGR16358-4726,X-ray source,-,-,18 ( 2.6),-,-,-,-
573,XTE J1637-498,249.262,-49.8600,,X-ray transient,-,-,-,0,0,1,1 (    0)
574,IGR J16374-5043,249.306,-50.7250,NULL,X-ray source,-,-,-,0,0,3,1 (    0)
575,QSO J1638+5720,249.556,57.3400,ICRF J163813.4+572023,Sy1,-,-,-,0,0,3,1 (    0)
576,CIZA J1638.2-6420,249.567,-64.3472,Triangulum cluster,Cluster of galaxies,-,-,-,1,0,3,1 (    0)
577,IGR J16393-4643,249.775,-46.7070,AX J1639.0-4642,HMXB/NS,-,-,-,5,0,8,1 (    0)
578,QSO B1638+3952,250.123,39.7795,NRAO 512,Quasar,-,-,-,0,0,2,1 (    0)
579,4U 1636-536,250.231,-53.7510,V801 Ara,LMXB/NS,-,73 ( 4.0),48 (11.0),32,180,2379,60114 (   67)
580,IGR J16418-4532,250.463,-45.5420,2MASS J16415078-4532253,HMXB/SFXT?,-,-,-,4,48,9,56017 ( 4164)
581,4C 39.48,250.745,39.8103,3C 345,HPQ,-,-,-,0,67,5,59947 (  234)
582,IGR J16442-5548,251.088,-55.8080,NULL,X-ray source,-,-,-,-,-,-,-
583,Swift J164449.3+573451,251.205,57.5810,NULL,TDF,88 ( 2.6),-,-,0,42,6,53785 ( 6396)
584,GX 340+0,251.449,-45.6111,4U 1642-45,LMXB/NS,102 ( 2.0),-,65 (13.7),48,133,2318,57707 ( 2474)
585,IGR J16465-4507,251.648,-45.1180,2MASS J16463526-4507045,HMXB/Pulsar,-,-,-,0,0,2,1 (    0)
586,CXOU J164710.2-455216,251.793,45.8710,PSR J1647-4552,Pulsar,-,-,-,0,67,3,59734 (  447)
587,IGR J16479-4514,251.990,-45.2010,2MASS J16480656-4512068,HXMB/SFXT,-,-,-,4,64,68,53480 ( 6701)
588,MAXI J1647-227,252.051,-23.0150,NULL,XRB/NS,-,-,-,0,37,15,56101 ( 4080)
589,IGR J16482-3036,252.063,-30.5840,2MASS J16481523-3035037,Sy1,-,-,-,0,0,2,1 (    0)
590,IGR J16493-4348,252.362,-43.8190,2MASS J16492695-4349090,XRB/NS,-,-,-,2,0,5,1 (    0)
591,XTE J1650-500,252.500,-50.0000,[GHJ2008] 3,LMXB/BH,-,-,-,-,-,-,-
592,XTE J1652-453,253.085,-45.3440,,XRB/BHC,-,-,-,-,-,-,-
593,NGC 6240,253.246,2.40000,NULL,Sy2,-,-,-,2,0,2,1 (    0)
594,Mrk 501,253.467,39.7600,4C 39.49,BL Lac,-,-,-,3,71,30,56941 ( 3240)
595,GRO J1655-40,253.501,-39.8333,V1033 Sco,LMXB/BH,78 ( 2.2),-,-,1,795,62,53509 ( 6672)
596,IGR J16558-4150,253.950,-41.8300,NULL,X-ray source,-,-,-,-,-,-,-
597,IGR J16558-5203,254.023,-52.0610,1RXS J165605.6-520345,Sy1.2,-,-,-,0,0,1,1 (    0)
598,Nova Sco,254.420,-32.3434,NOVA Sco 2007 a,Nova,-,-,-,-,-,-,-
599,Her X-1,254.457,35.3420,HZ Her,LMXB/NS,-,-,22 ( 7.5),35,388,2556,54309 ( 5872)
600,QSO B1655+077,254.538,7.69098,,Quasar,-,-,-,0,0,4,1 (    0)
601,Swift J1658.2-4242,254.552,-42.6988,NULL,NULL,-,-,-,-,-,-,-
602,MAXI J1659-152,254.757,-15.2580,,LMXB/BHC,-,-,-,0,241,50,55465 ( 4716)
603,IGR J16597-3704,254.887,-37.1207,NULL,NULL,-,-,-,-,-,-,-
604,GB6 B1700+6834,255.039,68.5020,7C 1700+6834,Sy1,-,-,-,0,0,1,1 (    0)
605,AX J1700.2-4220,255.105,-42.3170,2MASS J17002524-4219003,HMXB,370 ( 2.7),-,-,1,0,1,1 (    0)
606,EXO 1657-419,255.200,-41.6731,OAO 1657-415,HMXB/NS,-,-,24 ( 3.8),45,499,2957,56429 ( 3752)
607,IGR J17009+3559,255.222,35.9980,NULL,X-ray source,-,-,-,0,0,3,1 (    0)
608,XTE J1701-462,255.243,-46.1860,[KRL2007b] 214,LMXB/NS,-,-,-,3,100,284,53929 ( 6252)
609,XTE J1701-407,255.435,-40.8580,NULL,LMXB/NS,-,-,-,5,0,13,1 (    0)
610,H 1658-298,255.525,-29.9500,V2134 Oph,LMXB,-,-,-,0,0,1,1 (    0)
611,GX 339-4,255.706,-48.7900,V821 Ara,LMXB/BH,-,-,-,13,720,1034,54131 ( 6050)
612,V1535 Sco,255.859,-35.0716,NULL,NULL,-,-,-,-,-,-,-
613,4U 1700-377,255.987,-37.8440,V884 Sco,HMXB/NS,578 (14.2),815 (17.5),218 (29.7),136,2079,562,60057 (  124)
614,XTE J1704-412,256.005,-41.2440,NULL,X-ray transient,-,-,-,-,-,-,-
615,XTE J1704-445,256.120,-44.5400,NULL,X-ray source,-,-,-,-,-,-,-
616,GX 349+2,256.435,-36.4230,V1101 Sco,LMXB/NS,-,-,80 (11.9),74,201,4839,53623 ( 6558)
617,4U 1702-429,256.563,-43.0360,Ara X-1,LMXB/NS,-,-,-,22,83,1436,56090 ( 4091)
618,SWIFT J1706.6-6146,256.568,-61.7110,IGR J17062-6143,LMXB/NS,-,-,-,-,-,-,-
619,4U 1700+24,256.644,23.9718,HD 154791,LMXB/NS,-,-,-,1,72,43,57009 ( 3172)
620,H 1705-250,257.050,-25.0830,V2107 Oph,LMXB/BH,-,-,-,-,-,-,-
621,4U 1708-23,257.100,-22.8000,Oph X-2,X-ray source,-,-,-,-,-,-,-
622,H1705-440,257.225,-44.1020,4U 1705-440,LMXB/NS,-,-,15 ( 2.3),25,133,1618,59146 ( 1035)
623,4U 1705-32,257.227,-32.3160,1RXS J170854.4-321857,LMXB,-,-,-,0,0,1,1 (    0)
624,IGR J17091-3624,257.282,-36.4070,SAX J1709.1-3624,LMXB/BHC,-,-,-,5,122,124,55607 ( 4574)
625,RX J1709.5-2639,257.376,-26.6570,XTE J1709-267,LMXB,-,-,-,1,0,6,1 (    0)
626,PSR B1706-44,257.400,-44.5170,,Pulsar,-,-,-,0,0,1,1 (    0)
627,IGR J17098-3628,257.441,-36.4660,2MASS J17094612-362757,BHC,-,-,-,1,42,2,53553 ( 6628)
628,XTE J1710-281,257.551,-28.1320,1RXS J171012.3-280754,LMXB,-,-,-,2,0,1,1 (    0)
629,SAX J1711.6-3808,257.900,-38.1420,,BHC,-,-,-,-,-,-,-
630,NGC 6440,257.910,-3.38200,NULL,Globular cluster,-,-,-,0,0,3,1 (    0)
631,4U 1708-40,258.099,-40.8430,1RXS J171224.8-405034,LMXB,-,-,-,2,48,6,59795 (  386)
632,Oph cluster,258.103,-23.3500,,Galaxy cluster,-,-,-,6,0,7,1 (    0)
633,SAX J1712.6-3739,258.142,-37.6430,1RXS J171237.1-373834,LMXB/NS,-,-,-,6,59,16,56887 ( 3294)
634,V2400 Oph,258.152,-24.2460,1RXS J171236.2-241445,CV/DQ Her,-,-,-,3,0,6,1 (    0)
635,SWIFT J1713.4-4219,258.361,-42.3270,NULL,Transient,326 ( 2.1),-,-,0,0,1,1 (    0)
636,2S 1711-339,258.571,-34.0550,4U 1711-34,LMXB,-,-,-,0,0,1,1 (    0)
637,NovaSco 2014,258.945,-31.4750,TYC J17154683-3128303,NULL,-,-,-,-,-,-,-
638,XTE J1716-379,259.119,-37.9600,NULL,Pulsar,-,-,-,0,0,1,1 (    0)
639,NGC 6300,259.248,-62.8210,,Sy2,-,-,8 ( 2.4),3,0,4,1 (    0)
640,V824 Ara,259.356,-66.9511,NULL,RS CVn variable,-,-,-,-,-,-,-
641,IGR J17177-3656,259.428,-36.9340,NULL,NULL,-,-,-,0,50,4,59795 (  386)
642,RX J1718.4-4029,259.601,-40.4930,1RXS J171824.2-402934,LMXB,-,-,17 ( 2.5),0,0,1,1 (    0)
643,4U 1715-321,259.698,-32.1780,1H 1715-321,LMXB,-,-,-,0,0,2,1 (    0)
644,XMMSL1 J171900.4-353217,259.752,-35.5380,,X-ray transient,-,-,-,0,0,2,1 (    0)
645,PKS 1717+177,259.804,17.7520,0FGL J1719.3+1746,BL Lac,-,-,-,0,0,4,1 (    0)
646,IGR J17191-2821,259.808,-28.3270,NULL,XRB/NS,-,-,-,0,56,19,56089 ( 4092)
647,XTE J1719-291,259.821,-29.0690,,X-ray source,-,-,-,0,0,5,1 (    0)
648,IGR J17195-4100,259.898,-41.0150,1RXS J171935.6-410054,CV,-,-,-,-,-,-,-
649,Granat 1716-249,259.904,-25.0180,GRS 1716-249,BHC,-,-,-,2,625,250,57763 ( 2418)
650,XTE J1720-318,259.978,-31.7480,V1228 Sco,LMXB/BHC,-,-,-,0,0,3,1 (    0)
651,IGR J17200-3116,260.025,-31.2840,2MASS J17200591-3116596,HMXB,-,-,-,2,0,4,1 (    0)
652,4C 34.47,260.837,34.2990,87GB 172131.7+342032,Blazar/Sy1,-,-,-,0,0,8,1 (    0)
653,XTE J1723-376,260.900,-37.6500,INTREF 776,LMXB,-,-,-,0,0,1,1 (    0)
654,QSO B1722+119,261.268,11.8710,RGB J1725+118,BL Lac,-,-,-,0,41,3,59922 (  259)
655,IGR J17252-3616,261.297,-36.2830,EXO 1722-363,HMXB/NS,-,-,-,8,84,181,56532 ( 3649)
656,IGR J17254-3257,261.356,-32.9550,IGR17254-3257,SRC/Gamma,-,-,-,1,0,1,1 (    0)
657,QSO B1726+455,261.865,45.5110,ICRF J172727.6+453039,Sy1,-,20 ( 2.2),-,0,0,2,1 (    0)
658,GRS 1724-308,261.889,-30.8020,4U 1722-30,LMXB/NS,-,-,18 ( 2.6),17,67,593,54515 ( 5666)
659,SWIFT J1727.8-1613,261.937,-16.2120,NULL,NULL,-,-,-,-,-,-,-
660,MAXI J1727-203,261.971,-20.3890,NULL,NULL,-,-,-,0,47,10,58312 ( 1869)
661,QSO B1727+502,262.078,50.2196,1ES 1727+502,BL Lac,-,-,-,0,35,7,59922 (  259)
662,IGR J17285-2922,262.171,-29.3820,[KRL2007b] 241,XRB,-,-,-,0,0,3,1 (    0)
663,SWIFT J1728.9-3613,262.245,-36.2255,NULL,NULL,-,-,-,3,183,31,58520 ( 1661)
664,SWIFT J1729.9-3437,262.537,-34.6120,NULL,XRB/NS,-,-,-,0,31,7,55397 ( 4784)
665,IGR J17303-0601,262.590,-5.99300,1H 1726-058,CV/DQ Her,-,-,-,3,0,4,1 (    0)
666,GX 9+9,262.934,-16.9620,V2216 Oph,LMXB/NS,-,-,28 ( 3.5),20,75,745,53788 ( 6393)
667,GX 354-0,262.988,-33.8340,Slow burster,LMXB/NS,81 ( 2.1),85 ( 2.5),30 ( 4.7),48,209,3216,54172 ( 6009)
668,GX 1+4,263.009,-24.7460,V2116 Oph,LMXB/NS,-,-,30 ( 4.6),46,369,3275,60046 (  135)
669,PSR J1732-31,263.140,-31.5230,0FGL J1732.8-3135,Pulsar,-,-,-,-,-,-,-
670,QSO B1730-130,263.261,-13.0804,NRAO 530,Quasar,-,-,-,0,0,3,1 (    0)
671,IGR J17331-2406,263.304,-24.1430,[KRL2007b] 247,BHC,-,-,-,-,-,-,-
672,Rapid Burster,263.353,-33.3880,MXB 1730-335,LMXB/NS,-,-,16 ( 2.4),2,61,79,54264 ( 5917)
673,GRS 1730-312,263.380,-31.2200,KS 1730-312,BHC,-,-,-,0,0,1,1 (    0)
674,4U 1730-22,263.487,-22.0353,NULL,NULL,-,-,32 ( 4.2),19,0,1,1 (    0)
675,KS 1731-260,263.550,-26.1000,2MASS J17341270-2605485,LMXB,-,-,-,-,-,-,-
676,Swift J1734.5-3027,263.602,-30.3980,NULL,NULL,-,-,-,0,0,2,1 (    0)
677,1RXH J173523.7-354013,263.849,-35.6693,RX J1735.3-3540,LMXB candidate,-,-,-,-,-,-,-
678,IGR J17354-3255,263.854,-32.9380,SSTGLMC G355.4576-00.2730,SRC/gamma,-,-,-,-,-,-,-
679,XB 1732-304,263.950,-30.4830,1RXS J173546.9-302859,LMXB,-,-,14 ( 2.1),0,0,2,1 (    0)
680,IGR J17361-4441,264.073,-44.7350,NULL,NULL,-,-,-,0,0,1,1 (    0)
681,V1707 Sco,264.290,-35.1725,NULL,NULL,-,-,-,0,0,1,1 (    0)
682,GRS 1734-292,264.368,-29.1340,AX J1737.4-2907,Sy1,-,-,-,5,0,7,1 (    0)
683,IGR J17375-3022,264.395,-30.3820,NULL,X-ray source,-,-,-,0,0,1,1 (    0)
684,IGR J17379-3747,264.495,-37.7720,,X-ray source,-,-,-,0,0,1,1 (    0)
685,SLX 1735-269,264.571,-26.9940,1ES 1735-26.9,LMXB/NS,-,-,-,13,56,3,59829 (  352)
686,V2672 Ophiuchi,264.582,-26.7370,Nova Ophiuchi 2009,Nova,-,-,-,-,-,-,-
687,GX 359+2,264.650,-28.4830,4U 1735-28,LMXB,-,-,-,-,-,-,-
688,4U 1735-44,264.743,-44.4500,V926 Sco,LMXB/NS,-,83 ( 3.1),42 ( 7.4),30,84,2256,53784 ( 6397)
689,IGR J17391-3021,264.796,-30.3440,XTE J1739-302,HMXB/SFXT,-,-,-,-,-,-,-
690,GRS 1736-297,264.888,-29.7240,NULL,NULL,-,-,-,-,-,-,-
691,XTE J1739-285,264.975,-28.4960,[KRL2007b] 258,LMXB/NS,-,-,-,4,0,2,1 (    0)
692,AX J1740.1-3102,265.038,-31.0400,GRS 1737-31,BHC,-,-,-,0,0,1,1 (    0)
693,QSO B1739+522,265.154,52.1954,4C +51.37,Quasar,-,-,7 ( 2.5),-,-,-,-
694,IGR J17407-2808,265.172,-28.1470,NULL,NULL,-,-,-,0,0,1,1 (    0)
695,SLX 1737-282,265.179,-28.3020,2E 1737.5-2817,LMXB/NS,-,-,-,2,78,2,59855 (  326)
696,EXS 1737.9-2952,265.280,-29.8800,EXS1737.9-2952,X-ray source,-,-,-,0,49,1,59795 (  386)
697,SWIFT J1741.5-6548,265.350,-65.7910,NULL,XRB/NS,-,-,-,-,-,-,-
698,PSR J1741-2054,265.540,-20.9160,0FGL J1742.1-2054,Gamma-ray source,-,-,-,0,0,3,1 (    0)
699,GRS 1739-278,265.670,-27.7600,V2606 Oph,BHC,-,-,-,3,333,145,56777 ( 3404)
700,XTE J1743-363,265.750,-36.3447,[KRL2007b] 264,SRC/X-ray,-,-,-,0,0,2,1 (    0)
701,1E 1740.7-2942,265.978,-29.7450,GREAT ANNIHILATOR,LMXB/BHC,-,-,19 ( 2.6),44,124,165,59855 (  326)
702,1ES 1741+19.6,265.990,19.5858,QSO B1741+196,BL Lac,-,-,-,0,40,1,59922 (  259)
703,QSO B1741-038,265.995,-3.83462,,Quasar,-,-,-,0,33,8,53515 ( 6666)
704,GRO J1744-28,266.138,-28.7410,NULL,NULL,-,-,-,4,923,119,56739 ( 3442)
705,Swift J174444.9-295042,266.187,-29.8450,NULL,NULL,-,-,-,0,0,1,1 (    0)
706,AX J1744.8-2921,266.213,-29.3550,M1741-293,LMXB/NS,-,-,-,6,69,172,56426 ( 3755)
707,Granat J1741.9-2853,266.260,-28.9140,NULL,LMXB,-,-,-,1,138,13,56676 ( 3505)
708,IGR J17451-3022,266.278,-30.3788,NULL,NULL,-,-,-,-,-,-,-
709,Swift J1745.1-2624,266.295,-26.4030,Swift J174510.8-262411,LMXB/BHC,-,-,-,4,909,163,56188 ( 3993)
710,Sgr Astar,266.417,-29.0078,CXOGC J174540.0-290027,Galactic center,-,-,-,6,167,17,57551 ( 2630)
711,1A 1742-294,266.522,-29.5150,2E 1742.9-2929,LMXB/NS,-,-,-,11,61,218,59795 (  386)
712,IGR J17464-3213,266.565,-32.2340,H 1743-322,LMXB/BHC,-,-,-,7,215,533,55195 ( 4986)
713,IGR J17460-3047,266.580,-30.7910,IGR17460-3047,X-ray source,-,-,-,0,0,1,1 (    0)
714,1E 1743.1-2843,266.588,-28.7280,2E 1743.1-2842,LMXB,-,-,-,6,0,4,1 (    0)
715,SAX J1747.0-2853,266.761,-28.8830,CXOU J174702.5-285258,LMXB/NS,-,-,-,2,43,13,53821 ( 6360)
716,IGR J17473-2721,266.825,-27.3440,XTE J1747-274,LMXB/NS,-,-,-,2,392,171,54594 ( 5587)
717,SLX 1744-300,266.856,-30.0450,AX J1747.4-3000,LMXB/NS,-,-,-,9,0,35,1 (    0)
718,IGR J17475-2822,266.927,-28.3740,[KRL2007b] 279,Molecular cloud,-,-,-,-,-,-,-
719,GX 3+1,266.983,-26.5640,Sgr X-1,LMXB/NS,-,-,-,23,59,1246,54653 ( 5528)
720,XTE J1748-288,267.021,-28.4740,AX J1748.0-2829,LMXB/BHC,-,-,-,0,125,3,59734 (  447)
721,EXO 1745-248,267.022,-24.7800,,LMXB/NS,-,-,-,2,300,132,57128 ( 3053)
722,1A1744-361,267.080,-36.1210,[KRL2007b] 281,LMXB,-,-,14 ( 2.2),0,0,9,1 (    0)
723,H 1745-203,267.225,-20.3670,4U 1745-203,LMXB,-,-,-,0,103,21,57076 ( 3105)
724,IGR J17488-3253,267.230,-32.9140,2MASS J17485512-3254521,Sy1,-,-,-,1,0,3,1 (    0)
725,AX J1749.1-2733,267.278,-27.5420,NULL,HMXB,-,-,-,0,0,2,1 (    0)
726,AX J1749.1-2639,267.291,-26.6370,GRO J1750-27,HMXB/NS,-,-,-,4,286,265,54516 ( 5665)
727,IGR J17494-3030,267.349,-30.5000,NULL,NULL,-,-,-,-,-,-,-
728,Swift J1749.4-2807,267.368,-28.1210,2XMM J174931.6-280805,Pulsar,-,-,-,0,0,1,1 (    0)
729,IGR J17497-2821,267.409,-28.3547,,LMXB/BHC,-,-,-,0,99,37,54001 ( 6180)
730,SLX 1746-331,267.452,-33.2051,RX J1749.8-3312,LMXB,-,-,20 ( 3.0),0,0,1,1 (    0)
731,IGR J17498-2921,267.481,-29.3220,NULL,LMXB/NS,-,-,-,0,44,19,55789 ( 4392)
732,RS Oph,267.555,-6.70800,NOVA Oph 1898,Nova,-,-,13 ( 2.0),0,0,4,1 (    0)
733,4U 1746-370,267.557,-37.0470,,LMXB/NS,-,-,-,4,0,5,1 (    0)
734,SAX J1750.8-2900,267.602,-29.0380,SAX1750.8-2900,LMXB/NS,-,58 ( 2.2),15 ( 2.3),1,90,90,54583 ( 5598)
735,EXO 1747-214,267.604,-21.4260,,LMXB,-,-,-,0,60,3,59855 (  326)
736,GRS 1747-312,267.690,-31.2920,,LMXB,-,-,-,1,0,6,1 (    0)
737,V1324 Sco,267.725,-32.6225,NULL,NULL,-,-,-,-,-,-,-
738,IGR J17511-3057,267.786,-30.9610,NULL,LMXB/NS,-,-,-,0,52,26,55089 ( 5092)
739,XTE J1751-305,267.806,-30.6230,[KRL2007b] 291,XRB,-,-,-,0,0,3,1 (    0)
740,1RXS J175113.3-201214,267.806,-20.2040,,X-ray source,-,-,16 ( 2.2),0,0,1,1 (    0)
741,4C 09.57,267.887,9.65020,4C +09.57,BL Lac,-,-,-,0,32,4,53786 ( 6395)
742,XTE J1752-223,268.063,-22.3420,,LMXB/BHC,-,-,-,1,818,141,55198 ( 4983)
743,SAX J1752.3-3138,268.100,-31.6280,SAX1752.3-3138,LMXB,-,-,-,0,0,2,1 (    0)
744,SWIFT J1753.5-0127,268.368,-1.45260,,LMXB/BHC,-,-,-,36,409,2515,53563 ( 6618)
745,SAX J1753.5-2349,268.383,-23.8210,NULL,LMXB/NS,-,-,-,0,36,13,56101 ( 4080)
746,SWIFT J1753.7-2544,268.416,-25.7540,Swift J1753.7-2544,NULL,-,-,-,1,98,24,56321 ( 3860)
747,RX J1753.6+2848,268.427,28.8014,ICRF J175342.4+284804,Quasar,-,-,-,0,0,3,1 (    0)
748,AX J1754.2-2754,268.561,-27.9100,NULL,X-ray source,-,-,-,0,62,1,59855 (  326)
749,IGR J17544-2619,268.605,-26.3310,1RXS J175428.3-262035,HMXB/SFXT,-,-,-,1,155,27,58211 ( 1970)
750,V745 Sco,268.843,-33.2500,NULL,NULL,-,-,-,-,-,-,-
751,HD 163621,268.853,36.1889,V835 Her,RS CVn variable,-,-,-,0,0,2,1 (    0)
752,XTE J1755-324,268.870,-32.4780,INTREF 866,LMXB/BHC,-,-,-,0,62,2,59855 (  326)
753,IGR J17559-2612,268.990,-26.2100,NULL,NULL,-,-,-,0,0,1,1 (    0)
754,SWIFT J1756.9-2508,269.239,-25.1080,NULL,LMXB/NS,-,-,-,0,49,19,55023 ( 5158)
755,SGR 1801-23,269.488,-22.9470,SGR1801-23,SGR,-,-,-,0,0,3,1 (    0)
756,IGR J17586-2129,269.644,-21.3890,CXOU J175834.5-212321,HMXB,-,-,17 ( 2.4),2,51,51,55150 ( 5031)
757,H 1755-338,269.675,-33.8170,Ginga 1755-338,BHC,-,-,-,0,0,1,1 (    0)
758,IGR J17591-2342,269.762,-23.7195,NULL,NULL,-,-,-,-,-,-,-
759,2E 1756.8+1451,269.788,14.8620,NULL,NULL,-,-,-,-,-,-,-
760,IGR J17597-2201,269.940,-22.0280,XTE J1759-220,LMXB,-,-,-,0,0,3,1 (    0)
761,QSO B1758+38,270.103,38.8085,,Quasar,-,-,-,0,0,2,1 (    0)
762,8C 1803+784,270.190,78.4678,,BL Lac,-,-,-,0,0,1,1 (    0)
763,GX 5-1,270.284,-25.0780,4U 1758-25,LMXB/NS,-,95 ( 3.6),83 (12.7),70,279,430,60032 (  149)
764,GRS 1758-258,270.302,-25.7430,1RXS J180112.6-254435,LMXB/BHC,-,112 ( 4.2),83 (13.0),60,150,331,60018 (  163)
765,0FGL J1801.6-2327,270.345,-23.2890,SNR G006.4-00.1,SNR,-,-,-,-,-,-,-
766,QSO B1800+440,270.385,44.0728,,Quasar,-,-,-,-,-,-,-
767,GX 9+1,270.385,-20.5290,Sgr X-3,LMXB/NS,-,58 ( 2.4),48 ( 6.6),36,84,2998,58563 ( 1618)
768,IGR J18027-2016,270.666,-20.2870,SAX J1802.7-2017,HMXB,-,-,-,5,96,35,59855 (  326)
769,PMN J1802-3940,270.678,-39.6690,0FGL J1802.6-3939,Radio source,-,-,-,0,0,1,1 (    0)
770,IGR J18027-1455,270.697,-14.9150,,Sy1,-,-,-,1,0,3,1 (    0)
771,MAXI J1803-298,270.762,-29.8305,NULL,NULL,-,-,-,6,146,20,59358 (  823)
772,1RXS J180408.9-342058,271.038,-34.3494,NULL,NULL,-,-,-,-,-,-,-
773,V772 Her,271.457,21.4458,CCDM J18058+2127A,Double star,-,-,-,-,-,-,-
774,NovaSagittari 2008,271.495,-27.2320,V5579 Sgr,Nova,-,-,-,0,0,1,1 (    0)
